As of,Rank,Last_Week_Rank,Title,Type_of_Film,Netflix_Exclusive,Netflix_Release_Date,Days_In_Top_10,Viewership_Score
10/15/21,3,-,Shameless,TV Show,,30-Jun-16,30,190
10/15/21,4,4,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,9,68
10/15/21,5,3,On My Block,TV Show,Yes,16-Mar-18,12,82
10/15/21,6,-,The Five Juanas,TV Show,Yes,6-Oct-21,5,22
10/15/21,7,9,Cocomelon,TV Show,,1-Jun-20,351,1235
10/15/21,8,7,Midnight Mass,TV Show,Yes,24-Sep-21,20,112
10/15/21,9,-,The Blacklist,TV Show,,15-Sep-14,12,32
10/15/21,10,-,The Baby-Sitters Club,TV Show,Yes,3-Jul-20,17,76
10/16/21,1,-,You,TV Show,,26-Dec-18,1,10
10/16/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,27,260
10/16/21,3,2,Maid,TV Show,Yes,1-Oct-21,15,128
10/16/21,4,-,Shameless,TV Show,,30-Jun-16,31,197
10/16/21,5,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,10,74
10/16/21,6,10,Cocomelon,TV Show,,1-Jun-20,352,1240
10/16/21,7,8,The Great British Baking Show,TV Show,,3-Oct-15,17,62
10/16/21,8,4,On My Block,TV Show,Yes,16-Mar-18,13,85
10/16/21,9,-,The Forgotten Battle,Movie,Yes,15-Oct-21,1,2
10/16/21,10,-,Going in Style,Movie,,11-Oct-21,1,1
10/17/21,1,-,You,TV Show,,26-Dec-18,2,20
10/17/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,28,269
10/17/21,3,2,Maid,TV Show,Yes,1-Oct-21,16,136
10/17/21,4,-,Shameless,TV Show,,30-Jun-16,32,204
10/17/21,5,-,The Forgotten Battle,Movie,Yes,15-Oct-21,2,8
10/17/21,6,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,11,79
10/17/21,7,9,Cocomelon,TV Show,,1-Jun-20,353,1244
10/17/21,8,-,Going in Style,Movie,,11-Oct-21,2,4
10/17/21,9,-,My Name,TV Show,Yes,15-Oct-21,1,2
10/17/21,10,-,The Great British Baking Show,TV Show,,3-Oct-15,18,63
10/18/21,1,-,You,TV Show,,26-Dec-18,3,30
10/18/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,29,278
10/18/21,3,2,Maid,TV Show,Yes,1-Oct-21,17,144
10/18/21,4,-,Shameless,TV Show,,30-Jun-16,33,211
10/18/21,5,-,The Forgotten Battle,Movie,Yes,15-Oct-21,3,14
10/18/21,6,-,My Name,TV Show,Yes,15-Oct-21,2,7
10/18/21,7,10,Cocomelon,TV Show,,1-Jun-20,354,1248
10/18/21,8,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,12,82
10/18/21,9,-,Going in Style,Movie,,11-Oct-21,3,6
10/18/21,10,-,In the Dark,TV Show,,5-Jul-19,6,7
10/19/21,1,-,You,TV Show,,26-Dec-18,4,40
10/19/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,30,287
10/19/21,3,2,Maid,TV Show,Yes,1-Oct-21,18,152
10/19/21,4,5,Shameless,TV Show,,30-Jun-16,34,218
10/19/21,5,9,Cocomelon,TV Show,,1-Jun-20,355,1254
10/19/21,6,-,The Forgotten Battle,Movie,Yes,15-Oct-21,4,19
10/19/21,7,-,My Name,TV Show,Yes,15-Oct-21,3,11
10/19/21,8,-,In the Dark,TV Show,,5-Jul-19,7,10
10/19/21,9,3,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,13,84
10/19/21,10,-,Going in Style,Movie,,11-Oct-21,4,7
10/20/21,1,-,You,TV Show,,26-Dec-18,5,50
10/20/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,31,296
10/20/21,3,2,Maid,TV Show,Yes,1-Oct-21,19,160
10/20/21,4,4,Shameless,TV Show,,30-Jun-16,35,225
10/20/21,5,9,Cocomelon,TV Show,,1-Jun-20,356,1260
10/20/21,6,-,My Name,TV Show,Yes,15-Oct-21,4,16
10/20/21,7,-,The Forgotten Battle,Movie,Yes,15-Oct-21,5,23
10/20/21,8,-,In the Dark,TV Show,,5-Jul-19,8,13
10/20/21,9,-,Riverdale,TV Show,,19-May-17,23,113
10/20/21,10,-,Going in Style,Movie,,11-Oct-21,5,8
10/21/21,1,-,You,TV Show,,26-Dec-18,6,60
10/21/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,32,305
10/21/21,3,2,Maid,TV Show,Yes,1-Oct-21,20,168
10/21/21,4,3,Shameless,TV Show,,30-Jun-16,36,232
10/21/21,5,8,Cocomelon,TV Show,,1-Jun-20,357,1266
10/21/21,6,-,My Name,TV Show,Yes,15-Oct-21,5,21
10/21/21,7,-,Night Teeth,Movie,Yes,20-Oct-21,1,4
10/21/21,8,-,Riverdale,TV Show,,19-May-17,24,116
10/21/21,9,-,In the Dark,TV Show,,5-Jul-19,9,15
10/21/21,10,4,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,14,85
10/22/21,1,-,You,TV Show,,26-Dec-18,7,70
10/22/21,2,1,Squid Game,TV Show,Yes,17-Sep-21,33,314
10/22/21,3,2,Maid,TV Show,Yes,1-Oct-21,21,176
10/22/21,4,-,Night Teeth,Movie,Yes,20-Oct-21,2,11
10/22/21,5,3,Shameless,TV Show,,30-Jun-16,37,238
10/22/21,6,7,Cocomelon,TV Show,,1-Jun-20,358,1271
10/22/21,7,-,Riverdale,TV Show,,19-May-17,25,120
10/22/21,8,-,My Name,TV Show,Yes,15-Oct-21,6,24
10/22/21,9,4,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,15,87
10/22/21,10,-,In the Dark,TV Show,,5-Jul-19,10,16
10/23/21,1,1,You,TV Show,,26-Dec-18,8,80
10/23/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,34,323
10/23/21,3,3,Maid,TV Show,Yes,1-Oct-21,22,184
10/23/21,4,-,Locke & Key,TV Show,Yes,7-Feb-20,1,7
10/23/21,5,6,Cocomelon,TV Show,,1-Jun-20,359,1277
10/23/21,6,4,Shameless,TV Show,,30-Jun-16,38,243
10/23/21,7,-,Night Teeth,Movie,Yes,20-Oct-21,3,15
10/23/21,8,7,The Great British Baking Show,TV Show,,3-Oct-15,19,66
10/23/21,9,-,Riverdale,TV Show,,19-May-17,26,122
10/23/21,10,5,Dave Chappelle: The Closer,Stand-Up Comedy,Yes,5-Oct-21,16,88
10/24/21,1,1,You,TV Show,,26-Dec-18,9,90
10/24/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,35,332
10/24/21,3,3,Maid,TV Show,Yes,1-Oct-21,23,192
10/24/21,4,-,Locke & Key,TV Show,Yes,7-Feb-20,2,14
10/24/21,5,-,Inside Job,TV Show,Yes,22-Oct-21,1,6
10/24/21,6,-,Maya and the Three,TV Show,Yes,22-Oct-21,1,5
10/24/21,7,-,Night Teeth,Movie,Yes,20-Oct-21,4,19
10/24/21,8,7,Cocomelon,TV Show,,1-Jun-20,360,1280
10/24/21,9,-,Riverdale,TV Show,,19-May-17,27,124
10/24/21,10,4,Shameless,TV Show,,30-Jun-16,39,244
10/25/21,1,1,You,TV Show,,26-Dec-18,10,100
10/25/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,36,341
10/25/21,3,-,Locke & Key,TV Show,Yes,7-Feb-20,3,22
10/25/21,4,3,Maid,TV Show,Yes,1-Oct-21,24,199
10/25/21,5,-,Inside Job,TV Show,Yes,22-Oct-21,2,12
10/25/21,6,-,Maya and the Three,TV Show,Yes,22-Oct-21,2,10
10/25/21,7,-,Night Teeth,Movie,Yes,20-Oct-21,5,23
10/25/21,8,-,Riverdale,TV Show,,19-May-17,28,127
10/25/21,9,4,Shameless,TV Show,,30-Jun-16,40,246
10/25/21,10,7,Cocomelon,TV Show,,1-Jun-20,361,1281
10/26/21,1,1,You,TV Show,,26-Dec-18,11,110
10/26/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,37,350
10/26/21,3,-,Locke & Key,TV Show,Yes,7-Feb-20,4,30
10/26/21,4,3,Maid,TV Show,Yes,1-Oct-21,25,206
10/26/21,5,-,Inside Job,TV Show,Yes,22-Oct-21,3,18
10/26/21,6,-,Riverdale,TV Show,,19-May-17,29,132
10/26/21,7,5,Cocomelon,TV Show,,1-Jun-20,362,1285
10/26/21,8,-,Maya and the Three,TV Show,Yes,22-Oct-21,3,13
10/26/21,9,4,Shameless,TV Show,,30-Jun-16,41,248
10/26/21,10,-,Night Teeth,Movie,Yes,20-Oct-21,6,24
10/27/21,1,1,You,TV Show,,26-Dec-18,12,120
10/27/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,38,359
10/27/21,3,3,Maid,TV Show,Yes,1-Oct-21,26,214
10/27/21,4,-,Locke & Key,TV Show,Yes,7-Feb-20,5,37
10/27/21,5,-,Inside Job,TV Show,Yes,22-Oct-21,4,24
10/27/21,6,9,Riverdale,TV Show,,19-May-17,30,137
10/27/21,7,-,Maya and the Three,TV Show,Yes,22-Oct-21,4,17
10/27/21,8,5,Cocomelon,TV Show,,1-Jun-20,363,1288
10/27/21,9,4,Shameless,TV Show,,30-Jun-16,42,250
10/27/21,10,-,King Arthur: Legend of the __,Movie,,25-Oct-21,1,1
10/28/21,1,1,You,TV Show,,26-Dec-18,13,130
10/28/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,39,368
10/28/21,3,3,Maid,TV Show,Yes,1-Oct-21,27,222
10/28/21,4,-,Locke & Key,TV Show,Yes,7-Feb-20,6,44
10/28/21,5,-,Inside Job,TV Show,Yes,22-Oct-21,5,30
10/28/21,6,-,King Arthur: Legend of the __,Movie,,25-Oct-21,2,6
10/28/21,7,-,Maya and the Three,TV Show,Yes,22-Oct-21,5,21
10/28/21,8,5,Cocomelon,TV Show,,1-Jun-20,364,1291
10/28/21,9,8,Riverdale,TV Show,,19-May-17,31,139
10/28/21,10,-,Hypnotic,Movie,Yes,27-Oct-21,1,1
10/29/21,1,1,You,TV Show,,26-Dec-18,14,140
10/29/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,40,377
10/29/21,3,3,Maid,TV Show,Yes,1-Oct-21,28,230
10/29/21,4,-,Locke & Key,TV Show,Yes,7-Feb-20,7,51
10/29/21,5,-,Hypnotic,Movie,Yes,27-Oct-21,2,7
10/29/21,6,-,King Arthur: Legend of the __,Movie,,25-Oct-21,3,11
10/29/21,7,-,Inside Job,TV Show,Yes,22-Oct-21,6,34
10/29/21,8,-,Maya and the Three,TV Show,Yes,22-Oct-21,6,24
10/29/21,9,6,Cocomelon,TV Show,,1-Jun-20,365,1293
10/29/21,10,7,Riverdale,TV Show,,19-May-17,32,140
10/30/21,1,1,You,TV Show,,26-Dec-18,15,150
10/30/21,2,2,Squid Game,TV Show,Yes,17-Sep-21,41,386
10/30/21,3,-,Hypnotic,Movie,Yes,27-Oct-21,3,15
10/30/21,4,3,Maid,TV Show,Yes,1-Oct-21,29,237
10/30/21,5,4,Locke & Key,TV Show,Yes,7-Feb-20,8,57
10/30/21,6,-,Army of Thieves,Movie,Yes,29-Oct-21,1,5
10/30/21,7,8,The Great British Baking Show,TV Show,,3-Oct-15,20,70
10/30/21,8,-,Maya and the Three,TV Show,Yes,22-Oct-21,7,27
10/30/21,9,-,King Arthur: Legend of the __,Movie,,25-Oct-21,4,13
10/30/21,10,5,Cocomelon,TV Show,,1-Jun-20,366,1294
10/31/21,1,1,You,TV Show,,26-Dec-18,16,160
10/31/21,2,-,Army of Thieves,Movie,Yes,29-Oct-21,2,14
10/31/21,3,2,Squid Game,TV Show,Yes,17-Sep-21,42,394
10/31/21,4,-,Hypnotic,Movie,Yes,27-Oct-21,4,22
10/31/21,5,3,Maid,TV Show,Yes,1-Oct-21,30,243
10/31/21,6,6,Maya and the Three,TV Show,Yes,22-Oct-21,8,32
10/31/21,7,-,King Arthur: Legend of the __,Movie,,25-Oct-21,5,17
10/31/21,8,4,Locke & Key,TV Show,Yes,7-Feb-20,9,60
10/31/21,9,8,Cocomelon,TV Show,,1-Jun-20,367,1296
10/31/21,10,-,Colin in Black & White,TV Show,Yes,29-Oct-21,1,1
11/1/21,1,-,Army of Thieves,Movie,Yes,29-Oct-21,3,24
11/1/21,2,1,You,TV Show,,26-Dec-18,17,169
11/1/21,3,2,Squid Game,TV Show,Yes,17-Sep-21,43,402
11/1/21,4,4,Maid,TV Show,Yes,1-Oct-21,31,250
11/1/21,5,-,Hypnotic,Movie,Yes,27-Oct-21,5,28
11/1/21,6,3,Locke & Key,TV Show,Yes,7-Feb-20,10,65
11/1/21,7,6,Maya and the Three,TV Show,Yes,22-Oct-21,9,36
11/1/21,8,-,King Arthur: Legend of the __,Movie,,25-Oct-21,6,20
11/1/21,9,10,Cocomelon,TV Show,,1-Jun-20,368,1298
11/1/21,10,-,Colin in Black & White,TV Show,Yes,29-Oct-21,2,2
11/2/21,1,-,Army of Thieves,Movie,Yes,29-Oct-21,4,34
11/2/21,2,1,You,TV Show,,26-Dec-18,18,178
11/2/21,3,2,Squid Game,TV Show,Yes,17-Sep-21,44,410
11/2/21,4,4,Maid,TV Show,Yes,1-Oct-21,32,257
11/2/21,5,3,Locke & Key,TV Show,Yes,7-Feb-20,11,71
11/2/21,6,-,Colin in Black & White,TV Show,Yes,29-Oct-21,3,7
11/2/21,7,7,Cocomelon,TV Show,,1-Jun-20,369,1302
11/2/21,8,-,21 Jump Street,Movie,,1-Nov-21,1,3
11/2/21,9,6,Riverdale,TV Show,,19-May-17,33,142
11/2/21,10,-,Hypnotic,Movie,Yes,27-Oct-21,6,29
11/3/21,1,1,You,TV Show,,26-Dec-18,19,188
11/3/21,2,-,Army of Thieves,Movie,Yes,29-Oct-21,5,43
11/3/21,3,2,Squid Game,TV Show,Yes,17-Sep-21,45,418
11/3/21,4,-,Colin in Black & White,TV Show,Yes,29-Oct-21,4,14
11/3/21,5,-,21 Jump Street,Movie,,1-Nov-21,2,9
11/3/21,6,3,Maid,TV Show,Yes,1-Oct-21,33,262
11/3/21,7,4,Locke & Key,TV Show,Yes,7-Feb-20,12,75
11/3/21,8,8,Cocomelon,TV Show,,1-Jun-20,370,1305
11/3/21,9,-,Replicas,Movie,,1-Nov-21,1,2
11/3/21,10,6,Riverdale,TV Show,,19-May-17,34,143
11/4/21,1,-,The Harder They Fall,Movie,Yes,3-Nov-21,1,10
11/4/21,2,1,You,TV Show,,26-Dec-18,20,197
11/4/21,3,-,21 Jump Street,Movie,,1-Nov-21,3,17
11/4/21,4,2,Squid Game,TV Show,Yes,17-Sep-21,46,425
11/4/21,5,-,Army of Thieves,Movie,Yes,29-Oct-21,6,49
11/4/21,6,-,Colin in Black & White,TV Show,Yes,29-Oct-21,5,19
11/4/21,7,3,Maid,TV Show,Yes,1-Oct-21,34,266
11/4/21,8,8,Cocomelon,TV Show,,1-Jun-20,371,1308
11/4/21,9,4,Locke & Key,TV Show,Yes,7-Feb-20,13,77
11/4/21,10,-,Replicas,Movie,,1-Nov-21,2,3
11/5/21,1,-,The Harder They Fall,Movie,Yes,3-Nov-21,2,20
11/5/21,2,1,You,TV Show,,26-Dec-18,21,206
11/5/21,3,-,21 Jump Street,Movie,,1-Nov-21,4,25
11/5/21,4,2,Squid Game,TV Show,Yes,17-Sep-21,47,432
11/5/21,5,-,Colin in Black & White,TV Show,Yes,29-Oct-21,6,25
11/5/21,6,-,Army of Thieves,Movie,Yes,29-Oct-21,7,54
11/5/21,7,3,Maid,TV Show,Yes,1-Oct-21,35,270
11/5/21,8,9,Cocomelon,TV Show,,1-Jun-20,372,1311
11/5/21,9,-,Catching Killers,TV Show,Yes,4-Nov-21,1,2
11/5/21,10,4,Locke & Key,TV Show,Yes,7-Feb-20,14,78
11/6/21,1,-,The Harder They Fall,Movie,Yes,3-Nov-21,3,30
11/6/21,2,-,Love Hard,Movie,Yes,5-Nov-21,1,9
11/6/21,3,-,Big Mouth,TV Show,Yes,29-Sep-17,14,102
11/6/21,4,1,You,TV Show,,26-Dec-18,22,213
11/6/21,5,2,Squid Game,TV Show,Yes,17-Sep-21,48,438
11/6/21,6,-,21 Jump Street,Movie,,1-Nov-21,5,30
11/6/21,7,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,1,4
11/6/21,8,7,The Great British Baking Show,TV Show,,3-Oct-15,21,73
11/6/21,9,-,Catching Killers,TV Show,Yes,4-Nov-21,2,4
11/6/21,10,6,Army of Thieves,Movie,Yes,29-Oct-21,8,55
11/7/21,1,-,The Harder They Fall,Movie,Yes,3-Nov-21,4,40
11/7/21,2,-,Love Hard,Movie,Yes,5-Nov-21,2,18
11/7/21,3,-,Big Mouth,TV Show,Yes,29-Sep-17,15,110
11/7/21,4,1,You,TV Show,,26-Dec-18,23,220
11/7/21,5,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,2,10
11/7/21,6,3,Squid Game,TV Show,Yes,17-Sep-21,49,443
11/7/21,7,-,21 Jump Street,Movie,,1-Nov-21,6,34
11/7/21,8,-,Catching Killers,TV Show,Yes,4-Nov-21,3,7
11/7/21,9,2,Army of Thieves,Movie,Yes,29-Oct-21,9,57
11/7/21,10,9,Cocomelon,TV Show,,1-Jun-20,373,1312
11/8/21,1,-,Love Hard,Movie,Yes,5-Nov-21,3,28
11/8/21,2,-,The Harder They Fall,Movie,Yes,3-Nov-21,5,49
11/8/21,3,-,Big Mouth,TV Show,Yes,29-Sep-17,16,118
11/8/21,4,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,3,17
11/8/21,5,2,You,TV Show,,26-Dec-18,24,226
11/8/21,6,3,Squid Game,TV Show,Yes,17-Sep-21,50,448
11/8/21,7,-,21 Jump Street,Movie,,1-Nov-21,7,38
11/8/21,8,-,Catching Killers,TV Show,Yes,4-Nov-21,4,10
11/8/21,9,-,Arcane,TV Show,Yes,6-Nov-21,1,2
11/8/21,10,4,Maid,TV Show,Yes,1-Oct-21,36,271
11/9/21,1,-,Love Hard,Movie,Yes,5-Nov-21,4,38
11/9/21,2,-,Big Mouth,TV Show,Yes,29-Sep-17,17,127
11/9/21,3,-,The Harder They Fall,Movie,Yes,3-Nov-21,6,57
11/9/21,4,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,4,24
11/9/21,5,2,You,TV Show,,26-Dec-18,25,232
11/9/21,6,-,Catching Killers,TV Show,Yes,4-Nov-21,5,15
11/9/21,7,3,Squid Game,TV Show,Yes,17-Sep-21,51,452
11/9/21,8,7,Cocomelon,TV Show,,1-Jun-20,374,1315
11/9/21,9,8,21 Jump Street,Movie,,1-Nov-21,8,40
11/9/21,10,4,Maid,TV Show,Yes,1-Oct-21,37,272
11/10/21,1,-,Love Hard,Movie,Yes,5-Nov-21,5,48
11/10/21,2,-,Big Mouth,TV Show,Yes,29-Sep-17,18,136
11/10/21,3,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,5,32
11/10/21,4,-,The Harder They Fall,Movie,Yes,3-Nov-21,7,64
11/10/21,5,1,You,TV Show,,26-Dec-18,26,238
11/10/21,6,3,Squid Game,TV Show,Yes,17-Sep-21,52,457
11/10/21,7,-,Catching Killers,TV Show,Yes,4-Nov-21,6,19
11/10/21,8,8,Cocomelon,TV Show,,1-Jun-20,375,1318
11/10/21,9,6,Maid,TV Show,Yes,1-Oct-21,38,274
11/10/21,10,5,21 Jump Street,Movie,,1-Nov-21,9,41
11/11/21,1,-,Love Hard,Movie,Yes,5-Nov-21,6,58
11/11/21,2,-,Big Mouth,TV Show,Yes,29-Sep-17,19,145
11/11/21,3,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,6,40
11/11/21,4,1,The Harder They Fall,Movie,Yes,3-Nov-21,8,71
11/11/21,5,2,You,TV Show,,26-Dec-18,27,244
11/11/21,6,4,Squid Game,TV Show,Yes,17-Sep-21,53,462
11/11/21,7,8,Cocomelon,TV Show,,1-Jun-20,376,1322
11/11/21,8,-,Catching Killers,TV Show,Yes,4-Nov-21,7,22
11/11/21,9,7,Maid,TV Show,Yes,1-Oct-21,39,276
11/11/21,10,-,The Thundermans,TV Show,,1-Nov-21,1,1
11/12/21,1,-,Love Hard,Movie,Yes,5-Nov-21,7,68
11/12/21,2,-,Big Mouth,TV Show,Yes,29-Sep-17,20,154
11/12/21,3,-,Narcos: Mexico,TV Show,Yes,16-Nov-18,7,48
11/12/21,4,1,The Harder They Fall,Movie,Yes,3-Nov-21,9,78
11/12/21,5,2,You,TV Show,,26-Dec-18,28,250
11/12/21,6,4,Squid Game,TV Show,Yes,17-Sep-21,54,467
11/12/21,7,-,Passing,Movie,Yes,10-Nov-21,1,4
11/12/21,8,8,Cocomelon,TV Show,,1-Jun-20,377,1325
11/12/21,9,-,The Thundermans,TV Show,,1-Nov-21,2,3
11/12/21,10,7,Maid,TV Show,Yes,1-Oct-21,40,277
11/13/21,1,-,Red Notice,Movie,Yes,12-Nov-21,1,10
11/13/21,2,2,Love Hard,Movie,Yes,5-Nov-21,8,77
11/13/21,3,3,Big Mouth,TV Show,Yes,29-Sep-17,21,162
11/13/21,4,7,Narcos: Mexico,TV Show,Yes,16-Nov-18,8,55
11/13/21,5,8,The Great British Baking Show,TV Show,,3-Oct-15,22,79
11/13/21,6,4,You,TV Show,,26-Dec-18,29,255
11/13/21,7,1,The Harder They Fall,Movie,Yes,3-Nov-21,10,82
11/13/21,8,5,Squid Game,TV Show,Yes,17-Sep-21,55,470
11/13/21,9,-,Cocomelon,TV Show,,1-Jun-20,378,1327
11/13/21,10,-,Passing,Movie,Yes,10-Nov-21,2,5
11/14/21,1,-,Red Notice,Movie,Yes,12-Nov-21,2,20
11/14/21,2,2,Love Hard,Movie,Yes,5-Nov-21,9,86
11/14/21,3,3,Big Mouth,TV Show,Yes,29-Sep-17,22,170
11/14/21,4,1,The Harder They Fall,Movie,Yes,3-Nov-21,11,89
11/14/21,5,-,Arcane,TV Show,Yes,6-Nov-21,2,8
11/14/21,6,5,Narcos: Mexico,TV Show,Yes,16-Nov-18,9,60
11/14/21,7,-,Passing,Movie,Yes,10-Nov-21,3,9
11/14/21,8,6,Squid Game,TV Show,Yes,17-Sep-21,56,473
11/14/21,9,4,You,TV Show,,26-Dec-18,30,257
11/14/21,10,-,Animal,TV Show,Yes,10-Nov-21,1,1
11/15/21,1,-,Red Notice,Movie,Yes,12-Nov-21,3,30
11/15/21,2,1,Love Hard,Movie,Yes,5-Nov-21,10,95
11/15/21,3,3,Big Mouth,TV Show,Yes,29-Sep-17,23,178
11/15/21,4,4,Narcos: Mexico,TV Show,Yes,16-Nov-18,10,67
11/15/21,5,2,The Harder They Fall,Movie,Yes,3-Nov-21,12,95
11/15/21,6,-,Animal,TV Show,Yes,10-Nov-21,2,6
11/15/21,7,5,You,TV Show,,26-Dec-18,31,261
11/15/21,8,6,Squid Game,TV Show,Yes,17-Sep-21,57,476
11/15/21,9,9,Arcane,TV Show,Yes,6-Nov-21,3,10
11/15/21,10,-,Cocomelon,TV Show,,1-Jun-20,379,1328
11/16/21,1,-,Red Notice,Movie,Yes,12-Nov-21,4,40
11/16/21,2,4,Narcos: Mexico,TV Show,Yes,16-Nov-18,11,76
11/16/21,3,1,Love Hard,Movie,Yes,5-Nov-21,11,103
11/16/21,4,5,You,TV Show,,26-Dec-18,32,268
11/16/21,5,2,Big Mouth,TV Show,Yes,29-Sep-17,24,184
11/16/21,6,7,Squid Game,TV Show,Yes,17-Sep-21,58,481
11/16/21,7,10,Maid,TV Show,Yes,1-Oct-21,41,281
11/16/21,8,8,Cocomelon,TV Show,,1-Jun-20,380,1331
11/16/21,9,3,The Harder They Fall,Movie,Yes,3-Nov-21,13,97
11/16/21,10,-,The Thundermans,TV Show,,1-Nov-21,3,4
11/17/21,1,-,Red Notice,Movie,Yes,12-Nov-21,5,50
11/17/21,2,3,Narcos: Mexico,TV Show,Yes,16-Nov-18,12,85
11/17/21,3,5,You,TV Show,,26-Dec-18,33,276
11/17/21,4,-,American Pie: Reunion,Movie,,16-Nov-21,1,7
11/17/21,5,1,Love Hard,Movie,Yes,5-Nov-21,12,109
11/17/21,6,9,Maid,TV Show,Yes,1-Oct-21,42,286
11/17/21,7,6,Squid Game,TV Show,Yes,17-Sep-21,59,485
11/17/21,8,8,Cocomelon,TV Show,,1-Jun-20,381,1334
11/17/21,9,2,Big Mouth,TV Show,Yes,29-Sep-17,25,186
11/17/21,10,4,The Harder They Fall,Movie,Yes,3-Nov-21,14,98
11/18/21,1,-,Red Notice,Movie,Yes,12-Nov-21,6,60
11/18/21,2,-,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,36,310
11/18/21,3,3,Narcos: Mexico,TV Show,Yes,16-Nov-18,13,93
11/18/21,4,5,You,TV Show,,26-Dec-18,34,283
11/18/21,5,9,Maid,TV Show,Yes,1-Oct-21,43,292
11/18/21,6,-,The Queen of Flow,TV Show,Yes,9-Nov-18,1,5
11/18/21,7,7,Cocomelon,TV Show,,1-Jun-20,382,1338
11/18/21,8,6,Squid Game,TV Show,Yes,17-Sep-21,60,488
11/18/21,9,1,Love Hard,Movie,Yes,5-Nov-21,13,111
11/18/21,10,2,Big Mouth,TV Show,Yes,29-Sep-17,26,187
11/19/21,1,-,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,37,320
11/19/21,2,-,Red Notice,Movie,Yes,12-Nov-21,7,69
11/19/21,3,-,The Princess Switch 3: Roma__,Movie,Yes,18-Nov-21,2,15
11/19/21,4,-,The Queen of Flow,TV Show,Yes,9-Nov-18,2,12
11/19/21,5,3,Narcos: Mexico,TV Show,Yes,16-Nov-18,14,99
11/19/21,6,5,You,TV Show,,26-Dec-18,35,288
11/19/21,7,10,Maid,TV Show,Yes,1-Oct-21,44,296
11/19/21,8,8,Cocomelon,TV Show,,1-Jun-20,383,1341
11/19/21,9,-,American Pie: Reunion,Movie,,16-Nov-21,2,9
11/19/21,10,6,Squid Game,TV Show,Yes,17-Sep-21,61,489
11/20/21,1,1,Red Notice,Movie,Yes,12-Nov-21,8,79
11/20/21,2,-,Tiger King,TV Show,Yes,20-Mar-20,38,329
11/20/21,3,-,Cowboy Bebop,TV Show,Yes,19-Nov-21,1,8
11/20/21,4,-,Hellbound,TV Show,Yes,19-Nov-21,1,7
11/20/21,5,-,The Queen of Flow,TV Show,Yes,9-Nov-18,3,18
11/20/21,6,-,The Princess Switch 3: Roma__,Movie,Yes,18-Nov-21,3,20
11/20/21,7,5,The Great British Baking Show,TV Show,,3-Oct-15,23,83
11/20/21,8,4,Narcos: Mexico,TV Show,Yes,16-Nov-18,15,102
11/20/21,9,9,Cocomelon,TV Show,,1-Jun-20,384,1343
11/20/21,10,-,Maid,TV Show,Yes,1-Oct-21,45,297
11/21/21,1,1,Red Notice,Movie,Yes,12-Nov-21,9,89
11/21/21,2,-,Tiger King,TV Show,Yes,20-Mar-20,39,338
11/21/21,3,-,Cowboy Bebop,TV Show,Yes,19-Nov-21,2,16
11/21/21,4,-,Hellbound,TV Show,Yes,19-Nov-21,2,14
11/21/21,5,5,Arcane,TV Show,Yes,6-Nov-21,4,16
11/21/21,6,-,The Queen of Flow,TV Show,Yes,9-Nov-18,4,23
11/21/21,7,-,The Princess Switch 3: Roma__,Movie,Yes,18-Nov-21,4,24
11/21/21,8,-,Maid,TV Show,Yes,1-Oct-21,46,300
11/21/21,9,6,Narcos: Mexico,TV Show,Yes,16-Nov-18,16,104
11/21/21,10,8,Squid Game,TV Show,Yes,17-Sep-21,62,490
11/22/21,1,1,Red Notice,Movie,Yes,12-Nov-21,10,99
11/22/21,2,-,Cowboy Bebop,TV Show,Yes,19-Nov-21,3,25
11/22/21,3,-,Tiger King,TV Show,Yes,20-Mar-20,40,346
